MittelwertX=88.752662MittelwertY=0 MittelwertZ=3.039943

X Y Z
89.9962 0 2.93724 
87.2819 0 3.26776 
88.9556 0 2.10518 
89.0945 0 2.93599 
89.3246 0 3.512 
89.2739 0 3.5524 
89.5036 0 0.381072 
89.9809 0 3.49865 
89.2664 0 3.08731 
87.6767 0 3.06715 
89.6293 0 3.35879 
88.3007 0 3.23995 
84.6629 0 3.34751 
88.7318 0 3.45257 
88.8058 0 3.70727 
89.8744 0 3.38611 
89.9289 0 3.11259 
89.9962 0 2.93724 
87.2819 0 3.26776 
88.9556 0 2.10518 
89.0945 0 2.93599 
89.3246 0 2.9998 
89.2739 0 3.512 
89.5036 0 3.5524 
89.9809 0 0.381072 
89.2664 0 3.49865 
87.6767 0 3.08731 
89.6293 0 3.06715 
88.3007 0 3.35879 
89.3196 0 3.23995 
84.6629 0 3.34751 
88.7318 0 3.45257 
88.8058 0 3.70727 
89.8744 0 3.38611 
89.9289 0 3.11259 
89.9962 0 2.93724 
87.2819 0 3.26776 
88.9556 0 2.10518 
89.0945 0 2.93599 
89.3246 0 2.9998 
89.2739 0 2.79367 
89.5036 0 3.512 
89.9809 0 3.5524 
89.2664 0 0.381072 
87.6767 0 3.49865 
89.6293 0 3.08731 
88.3007 0 3.06715 
89.3196 0 3.35879 
89.6132 0 3.23995 
84.6629 0 3.34751 
88.7318 0 3.45257 
88.8058 0 3.70727 
89.8744 0 3.38611 
89.9289 0 3.11259 
89.9962 0 2.93724 
87.2819 0 3.26776 
88.9556 0 2.10518 
